S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
623,VI,Trilyo,http://trilyo.com/,,"Bengaluru-based Trilyo, a B2B SaaS company focused on restaurants helping restaurants increase loyalty and guest experience with complete workflow automation.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Customer engagement and Business consultancy,,,,,,Customer service for business,,,,,,,,,,Amplifi,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,VI,tripMD,http://tripmd.com/,,tripMD is a medical travel co-ordination platform which allows patients to browse through various treatment options at medical facilities globally and schedule an e-consultation.,Healthcare,Healthcare,Health-Tech,,B2C,Healthcare platform,,,Delhi,,,Telemedicine and Online health care platforms,,,,,,,,,,GSF Accelerator,06/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,VI,TruckMandi,http://www.truckmandi.in/,,"TLabs, owned by Times Group, has incubated TruckMandi which  lets transporters bid on its platform for customer loads at a fee of 2% per load.",Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Logistics firm,,,New Delhi,,,Delivery services and logistics,,,,,,,,,,TLabs,05/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,VI,Truelancer,https://www.truelancer.com/,,"Truelancer is an online platform to hire skilled freelancers from across the world. Truelancer.com is operated by 'Truelancer Internet Private Limited. In Mar-2016, the company raised angel funding from Raghu Vohra, Blackstone Valey Group.",Technology,Software & Computer Services,Social Platforms,,B2B,Connect freelancers,,,Delhi,,,Connect to Professionals,,,,,,,,,,Startup Tunnel,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,VI,TruTech,http://www.trutechclouds.com/,,The company offers a gesture recognition solution called The Fluid Motion.,Technology,Software & Computer Services,Software and Internet Services,,B2B,IOT,,,Mumbai,,,Software services for consumers,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,VI,Ttatva,http://ttatva.com/,,"TTatva’s solution in this space is aimed at Used Vehicle Market, where they provide advanced analytics and Value-Object analysis (object being vehicle) to end consumers.",Consumer_services,Retail,Consumer Products and Services,,B2B,Automobile repair,,,Bengaluru,,,Automobiles & Auto Parts services,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,VI,Tuebro,http://www.tuebora.com,,Tuebora empowers enterprises to take control of all their Identity access management and governance woes,Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics,,,Bengaluru,,,Big Data Analytics and Machine learning,,,,,,,,,,Microsoft Accelerator,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,VI,Turtle Yogi,https://oneklikstreet.com/,,It offers three levels of value added facilities and services that makes it the world’s first fully equipped \‘\cloud office\’\.,Industrials,Industrial goods and services,Real estate,,B2B,Workspace management,,,Bengaluru,,,Property management services,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,VI,Twigly,http://twigly.in/,,"Health food supplier Twigly has raised seed funding of $200,000 from Tracxn Labs and angel investors, including Amit Gupta (Co-founder, Inmobi), Aloke Bajpai (Founder of Ixigo), founders of Delhivery, Ashish Kumar (founder of Staybees and Techriti), and partners and employees of SAIF Partners.",Consumer_goods,Food and beverage,Consumer Products and Services,,B2C,Healthcare food products,,,Gurgaon,,,Food Products,,,,,,,,,,Tracxn Labs,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,VI,Tydy,,,"A mobile-first, automated employee onboarding platform",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Jon Search,,,Bengaluru,,,Business Training & Employment Agencies,,,,,,,,,,Oracle Startup Cloud Accelerator,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,VI,Typeset,https://www.typeset.io/,,"Moonshot Accelerator, found by Aryaman Dalmia, has currently selected 4 startups for its 2017 spring batch. The startups include The Climber, AIndra Systems, FeltSo and Typeset. Typeset has created a platform to craft world class research papers.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Software for people,,,Bengaluru,,,Software services for consumers,,,,,,,,,,Moonshot Accelerator,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,VI,UberLabs,https://www.gazemetrix.com/,,UberLabs uses image recognition and machine learning technologies to identify image-based risks and opportunities.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Image processing and machine learning,,,Bengaluru,,,Big Data Analytics and Machine learning,,,,,,,,,,Microsoft Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,VI,Ubix Systems,,,"Ubix Systems is a professional company that designs and develops innovative mobile and software technology products that aim at creating and providing perpetual value for our customers and Stakeholders. We are based in Trivandrum, Kerala, India. We are creative at our work & skilled in creating compelling products that deliver highly professional and quality products.",Technology,Software & Computer Services,Software and Internet Services,,B2B,SaaS,,,Trivandrum,,,SaaS,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,VI,Udvavisk Technologies,http://www.udvavisk.com/,,"Provides training, consulting, Open Source Software implementation and R&D to academic institutions, industries and R&D labs.",Technology,Software & Computer Services,Edu-Tech,,B2C,Industrial Exposure,,,Chennai,,,Placement and Employment related services,,,,,,,,,,IIT-M,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,VI,Ultrasafe UltraSound,,,Target uses patented technology that prevents the identification of genitalia in live images produced by ultrasound machines thus preventing discerning of the gender of the child. The Ultrasafe Ultrasound Box can be retrofitted into existing sonography machines.  Has raised seed funding of Rs 6.5 lakh from Tata Social Enterprise Challenge.,Healthcare,Healthcare,Health-Tech,,B2C,Medical machinery,,,Kolkata,,,Medical Equipment and Devices,,,,,,,,,,IIM-C,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,VI,Uncanny Vision,http://www.uncannyvision.com/,,"Uncanny Vision is a computer vision processing library. It helps identify objects.   In Sep 2016, incubated at Microsoft Accelerator.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Image processing and machine learning,,,Bengaluru,,,Big Data Analytics and Machine learning,,,,,,,,,,Target Accelerator,04/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,VI,Unilogic Technologies,http://www.unilogic.in,,It is a technology company specializes in providing end-to-end solutions for Machine vision and computer based Test & Measurement applications.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Image processing and machine learning,,,Coimbatore,,,Big Data Analytics and Machine learning,,,,,,,,,,PSG - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,VI,Uninstall,http://www.uninstall.io,,Unistall.io empowers mobile app makers to understand the reasons behind high uninstall rates and thereby reduce the uninstall rate,Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics,,,Bengaluru,,,Big Data Analytics and Machine learning,,,,,,,,,,Microsoft Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,VI,Urjas Energy,http://www.urjas.com/,,"Urjas is a company providing non-conventional energy products using Solar, Biomas etc.",Technology,Technology Hardware & Equipment,Clean Technology,,B2C,Solar Energy,,,Mumbai,,,Solar energy,,,,,,,,,,IIT-Bombay SINE,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,VI,UX India Studios,http://www.uxindia.com,,UX india studio specialises in UX & Design staffing for big established brands and also startups.,Industrials,Industrial goods and services,"Media, Advertising and Gaming",,B2B,Branding via Design,,,Coimbatore,,,Animation,,,,,,,,,,PSG - STEP,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,VI,Vaave,http://www.vaave.com/,,"Utthishta Yekum Fund has invested INR 25 lakh to pick a 9% stake. Target Co Name = Coherendz India. Vaave helps educational institutions build exclusive networking portals for their alumni, a placement and training portal, online events registration and merchandise store.",Technology,Software & Computer Services,Edu-Tech,,B2C,Industrial Exposure,,,Hyderabad,,,Placement and Employment related services,,,,,,,,,,Utthishta,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,VI,Vanity Cube,http://www.vanitycube.in/,,VanityCube is professional on demand beauty and spa services.,Consumer_services,Retail,Consumer Products and Services,,B2C,Beauty Services,,,Mumbai,,,Personal Products,,,,,,,,,,Zone Startups India,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,VI,Varsito,http://varsito.com,,"A software that helps institutes capture, track & convert their enquiries to admissions ensuring they never miss a candidate. In future, Varsito is looking to become a complete end-to-end platform for institutes - Course Management, Digital Identity, Fee Management & Placements.",Technology,Software & Computer Services,Edu-Tech,,B2C,College Admission,,,Hyderabad,,,Training for entrance exams,,,,,,,,,,Amplifi,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,VI,Vear,,,An AR/VR technology platform,Technology,Technology Hardware & Equipment,Technology,,B2C,AR / VR,,,Bengaluru,,,VR-AR,,,,,,,,,,Oracle Startup Cloud Accelerator,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,VI,Vebbler,http://vebbler.com/,,"Vebbler, a Bangalore-based camera and photo sharing app, has been selected for FbStart programme and will get USD 40,000 in credits apart from various free tools and services from Facebook and its partners. Last August, Vebbler had raised USD 500,000 from a consortium of 16 investors led by People Group founder Anupam Mittal.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Mobile App,,,Bengaluru,,,Internet and software development,,,,,,,,,,Fbstart,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,VI,VectorDoc,,,Mobile application for patient and doctor interaction which analyses and gives the diagnostics report and respective suggestions,Healthcare,Healthcare,Health-Tech,,B2C,Online Healthcare Application,,,Bengaluru,,,Telemedicine and Online health care platforms,,,,,,,,,,Villgro,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,VI,Venpep Solutions,http://www.venpep.com,,VenPep Solutions Private Limited - Venture for the people - has been established to identify profitable white spaces in the International consumer markets and to enter these markets using suitable technology business solutions and GTM strategies.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B2C,Business Consultancy and Management,,,Coimbatore,,,Buisness and Management consultancy,,,,,,,,,,PSG - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,VI,Venue Plan,http://www.venueplan.com,,Venue Savvy helps hotels and complementing vendors create Content rich packages for any asset. And the Savvy booking engine provides realtime connect between buyers and sellers using a patent pending process.,Consumer_services,Travel and Leisure,Internet marketplace and eCommerce,,B2C,Online Booking of Hotels,,,Bengaluru,,,Booking,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,VI,Viamagus,https://viamagus.com/,,A SaaS product startup that helps simplify the way businesses and individuals build & maintain their online presence and do business online.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Business Management,,,Bengaluru,,,SaaS,,,,,,,,,,Kyron,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,VI,Vidgyor,http://vidgyor.com/,,The company enables broadcasters and content distributors monetize live TV streams by inserting targeted mid-roll ads on any Internet-connected device.,Industrials,Industrial goods and services,"Media, Advertising and Gaming",,B2B,Advertisement via internet,,,Bengaluru,,,Advertising,,,,,,,,,,TLabs,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,VI,Vidooly,http://www.vidooly.com/,,Vidooly is a YouTube marketing and analytics company,Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics,,,Noida,,,Big Data Analytics and Machine learning,,,,,,,,,,TLabs,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,VI,Vios Medicals India,http://www.viosmedical.com,,Realtime healthcare monitoring and workflow management device/platform,Healthcare,Healthcare,Health-Tech,,B2C,Medical Device,,,Bengaluru,,,Healthcare Analytics and Software,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,VI,Virtis Bio Labs,,,,Healthcare,Healthcare,Health-Tech,,B2B,Medical Development,,,Vellore,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,VIT - TBI,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,VI,Virtual Spaces,http://www.virtualspaces.in,,A virtual reality company that is enabling the real estate companies in India to cut costs and increase sales efficacy.,Technology,Technology Hardware & Equipment,Technology,,B2C,AR / VR,,,Bengaluru,,,VR-AR,,,,,,,,,,Amplifi,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,VI,VISINT Healthcare ,https://prezi.com/sxp50p7jqxhf/visint-health-care-pvt-ltd/,,"VISINT Healthcare is developing OcuDA (Ocular Digital Adapter), a device for retina screening and other diagnostic tools for cost-effective eye care solutions.",Healthcare,Healthcare,Health-Tech,,B2C,Medical Device,,,Bengaluru,,,Medical Equipment and Devices,,,,,,,,,,MUTBI Manipal,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,VI,Vital Bio-scientific Solutions,,,Company is engaged in development of a model to simulate a systems reaction to a drug,Healthcare,Healthcare,Health-Tech,,B2C,Drug Development,,,Chennai,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,IIT-M Biotech,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,VI,Viverati Interactive Marketing,http://www.poshvine.com,,"Posh Vine redefines the way you vacation, entertain and explore. We're on a mission to put the world's most memorable experiences at your fingertips. From authentic food tours and handpicked dining experiences to ultimate adventures and unique getaways, Posh Vine is for those who want to go behind the scenes, beyond the ordinary",Consumer_services,Travel and Leisure,Social Platforms,,B2C,Website for Tours and Travellers,,,Bengaluru,,,Website for information,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,VI,VM Trans Innovations,,,,,,,,,,,,Delhi,,,,,,,,,,,,,IIT-Delhi TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,VI,Voonik,http://www.voonik.com/&#8206,,"Voonik is an online stylist-curated fashion store. Consumers can provide necessary information like their body type and style preferences to receive stylist recommendation on what will suit them, how to wear them, and what to pair them with.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Online Fashion Store,,,Chennai,,,Clothing & Accessories,,,,,,,,,,Microsoft Accelerator,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,VI,vPhrase,https://www.vphrase.com/,,"vPhrase is a technology company based out of Mumbai, India. It helps companies communicate insights from their data, in a personalised way, at scale.
Phrazor, the patent pending Artificial Intelligence platform from vPhrase, analyses, reasons and writes like a human being. It works on data, derives insights and then communicates those insights in a narrative format in multiple languages.The new batch of startups selected for the Microsoft Accelerator programme are mainly in the areas of artificial intelligence and the internet of things, targeting verticals, including banking finance and financial services, logistics, healthcare, pharma and energy .Seven of the startups, including healthcare startup SigTuple and packaging artwork management software provider Karomi are among series-stage mature businesses, currently at an average annual revenue rate (ARR) of $1.5 million, and average funding of $3.2 million. The other startups in the batch include: AceBot, Active.Ai, FirstHive, Heckyl Technologies, Lavelle Networks, LetsTransport, QuestionPro, SysCloud, Tricog, vPhrase, Wittyparrot and Zenatix.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics to other companies,,,Mumbai,,,Big Data Analytics and Machine learning,,,,,,,,,,Microsoft Accelerator,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
